Date,Open,High,Low,Close
13-January-2023,13346.82,13484.22,13182.09,13434.63,
16-January-2023,13493.48,13575.49,13422.12,13548.52,
17-January-2023,13561.30,13678.23,13545.65,13665.76,
18-January-2023,13689.15,13773.43,13678.54,13736.15,
19-January-2023,13683.81,13745.27,13618.42,13704.11,
20-January-2023,13705.02,13742.61,13589.05,13614.71,
23-January-2023,13660.78,13831.55,13640.17,13815.58,
24-January-2023,13865.00,13921.72,13839.22,13877.10,
25-January-2023,13819.73,13845.73,13750.87,13781.94,
27-January-2023,13771.82,13840.66,13532.79,13625.55,
30-January-2023,13653.17,13804.21,13573.98,13748.99,
31-January-2023,13773.41,13783.31,13567.51,13651.57,
1-February-2023,13726.31,13815.85,13578.12,13736.90,
2-February-2023,13713.15,13989.55,13713.15,13957.04,
3-February-2023,14038.89,14084.66,13905.79,14046.06,
6-February-2023,14012.67,14019.71,13888.57,13955.44,
7-February-2023,13935.29,14011.20,13865.90,13892.78,
8-February-2023,13895.85,14125.40,13889.20,14044.35,
9-February-2023,14031.33,14153.63,13997.80,14143.86,
10-February-2023,14070.30,14120.05,13994.02,14096.57,
13-February-2023,14066.10,14068.95,13846.32,13855.78,
14-February-2023,13922.62,14041.15,13916.83,13993.99,
15-February-2023,13960.58,14121.51,13899.11,14107.24,
16-February-2023,14150.23,14287.27,14138.31,14218.98,
17-February-2023,14100.49,14156.96,14005.53,14052.34,
20-February-2023,14078.09,14193.71,14034.64,14097.96,
21-February-2023,14121.99,14162.36,13971.29,13982.64,
22-February-2023,13875.49,13943.44,13789.67,13827.96,
23-February-2023,13862.11,13914.25,13756.42,13776.46,
24-February-2023,13809.67,13887.63,13703.89,13737.46,
27-February-2023,13696.45,13696.45,13382.77,13462.81,
28-February-2023,13506.70,13594.74,13312.55,13345.51,
1-March-2023,13361.15,13528.69,13355.19,13516.34,
2-March-2023,13445.24,13456.26,13315.51,13336.24,
3-March-2023,13445.69,13487.27,13392.58,13443.62,
6-March-2023,13505.64,13689.91,13505.64,13594.98,
8-March-2023,13484.49,13562.88,13417.71,13547.13,
9-March-2023,13628.52,13628.52,13428.00,13442.93,
10-March-2023,13308.75,13395.86,13281.39,13380.11,
13-March-2023,13368.07,13519.02,13141.43,13180.79,
